"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"53",624413,"Pete Alonso","2762","1.9","1.000","3.000","null","4.000","1.990","1.563","0.850","53","53","107.7","28.0","2205","89.4","89.14","0","53","0","-0.3","6.09","106","153","119","147","305","330","304"
"49",553993,"Eugenio Suarez","2728","1.8","1.000","3.000","null","4.000","1.992","1.422","0.767","49","49","103.4","28.7","2293","89.2","88.91","0","49","0","-0.3","5.98","106","151","117","145","304","324","295"
"48",624585,"Jorge Soler","2750","1.7","1.000","3.000","null","4.000","1.993","1.565","0.828","48","48","107.3","28.9","2260","89.3","88.95","0","48","0","-0.4","5.88","106","153","121","146","305","330","304"
"47",641355,"Cody Bellinger","2771","1.7","1.000","3.000","null","4.000","1.993","1.536","0.827","47","47","104.4","28.2","2230","88.5","88.16","0","47","0","-0.3","5.92","115","158","127","156","304","327","308"
"45",545361,"Mike Trout","2509","1.8","1.000","3.000","null","4.000","1.993","1.665","0.881","45","45","107.8","27.9","2167","88.7","88.12","0","45","0","-0.6","5.92","105","151","121","144","308","328","300"
"45",608324,"Alex Bregman","3222","1.4","1.000","3.000","null","4.000","1.992","0.955","0.547","45","45","99.9","29.6","2210","89.0","88.70","0","45","0","-0.3","6.09","105","153","119","146","299","325","294"
"44",592885,"Christian Yelich","2285","1.9","1.000","3.000","null","4.000","1.993","1.470","0.795","44","44","105.6","28.6","2300","88.6","88.51","0","44","0","-0.1","6.12","119","151","122","151","299","322","305"
"43",543807,"George Springer","2642","1.6","1.000","3.000","null","4.000","1.993","1.570","0.853","43","43","106.8","26.3","2252","89.6","89.05","0","43","0","-0.6","5.99","111","153","120","147","298","329","296"
"42",660670,"Ronald Acuna Jr.","3147","1.3","1.000","3.000","null","4.000","1.992","1.710","0.894","42","42","107.7","29.2","2239","89.3","88.92","0","42","0","-0.4","5.97","107","152","117","145","313","330","296"
"42",443558,"Nelson Cruz","2172","1.9","1.000","3.000","null","4.000","1.993","1.594","0.848","42","42","106.5","28.0","2209","88.8","88.64","0","42","0","-0.2","6.08","106","152","122","145","310","332","295"
"41",650402,"Gleyber Torres","2551","1.6","1.000","3.000","null","4.000","1.992","1.343","0.721","41","41","102.2","29.3","2201","88.9","88.37","0","41","0","-0.5","5.95","109","153","121","147","305","323","287"
"41",571448,"Nolan Arenado","2391","1.7","1.000","3.000","null","4.000","1.992","1.151","0.646","41","41","101.1","28.3","2280","88.9","88.74","0","41","0","-0.2","5.93","107","153","119","148","314","336","305"
"39",665742,"Juan Soto","3086","1.3","1.000","3.000","null","4.000","1.990","1.523","0.807","39","39","105.6","29.5","2227","90.3","90.19","0","39","0","-0.1","6.16","112","152","122","153","299","324","305"
"39",518692,"Freddie Freeman","2851","1.4","1.000","3.000","null","4.000","1.993","1.448","0.770","39","39","104.2","30.0","2181","91.2","90.97","0","39","0","-0.2","6.04","114","164","135","151","301","330","305"
"38",518626,"Josh Donaldson","2806","1.4","1.000","3.000","null","4.000","1.993","1.538","0.840","38","38","104.8","27.3","2269","90.1","90.08","0","38","0","0.0","6.12","108","151","118","146","313","327","298"
"38",571970,"Max Muncy","2671","1.4","1.000","3.000","null","4.000","1.993","1.402","0.749","38","38","104.2","30.7","2269","90.8","90.85","0","38","0","0.1","6.09","118","156","128","153","302","328","307"
"38",656941,"Kyle Schwarber","2539","1.5","1.000","3.000","null","4.000","1.993","1.579","0.845","38","38","106.0","28.3","2235","90.6","90.40","0","38","0","-0.2","6.05","119","162","120","153","300","325","307"
"37",543685,"Anthony Rendon","2906","1.3","1.000","3.000","null","4.000","1.989","1.167","0.638","37","37","101.4","31.0","2255","89.1","89.00","0","37","0","-0.1","6.18","110","152","117","147","302","322","299"
"37",605137,"Josh Bell","2442","1.5","1.000","3.000","null","4.000","1.990","1.507","0.814","37","37","106.5","27.7","2212","89.3","89.15","0","37","0","-0.1","6.07","116","152","119","151","300","326","302"
"37",614177,"Franmil Reyes","2119","1.7","1.000","3.000","null","4.000","1.992","1.586","0.853","37","37","106.4","28.1","2329","88.9","88.55","0","37","0","-0.3","6.00","111","152","121","147","307","328","301"
"37",592626,"Joc Pederson","2127","1.7","1.000","3.000","null","4.000","1.992","1.412","0.787","37","37","105.2","27.3","2279","90.3","90.15","0","37","0","-0.2","6.06","122","155","120","157","303","324","304"
"36",656305,"Matt Chapman","2825","1.3","1.000","3.000","null","4.000","1.993","1.615","0.884","36","36","106.3","26.0","2241","87.6","87.17","0","36","0","-0.4","5.90","107","151","120","146","305","326","297"
"36",621566,"Matt Olson","2311","1.6","1.000","3.000","null","4.000","1.993","1.501","0.800","36","36","104.8","29.1","2231","88.7","88.44","0","36","0","-0.3","6.07","112","162","126","148","296","325","301"
"36",596146,"Max Kepler","2213","1.6","1.000","3.000","null","4.000","1.993","1.137","0.675","36","36","101.9","25.5","2297","88.2","87.62","0","36","0","-0.6","5.88","116","157","122","152","297","328","296"
